NOME,DESCRICAO,PROFICIENCIA_DE_LEITURA,PROFICIENCIA_DE_FALA,PROFICIENCIA_DE_ESCRITA,PROFICIENCIA_DE_COMPREENSAO
FR,Francês,BEM,BEM,BEM,BEM
EN,Inglês,BEM,RAZOAVELMENTE,RAZOAVELMENTE,BEM
IT,Italiano,BEM,RAZOAVELMENTE,POUCO,BEM
ES,Espanhol,BEM,RAZOAVELMENTE,RAZOAVELMENTE,BEM
