OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"13",0
1,"14",0
2,"15",0
3,"16",0
4,"17",0
5,"18",0
6,"38",0
7,"39",0
8,"58",0
9,"59",0
10,"62",0
11,"63",0
12,"64",0
13,"65",0
14,"66",0
15,"67",0
16,"68",0
17,"69",0
18,"75",0
19,"106",0
20,"110",0
21,"111",0
22,"117",0
23,"118",0
24,"120",0
25,"186",0
26,"187",0
27,"188",0
28,"189",0
29,"190",0
30,"218",0
31,"219",0
32,"220",0
33,"357",0
34,"361",0
35,"364",0
36,"365",0
37,"366",0
38,"439",0
39,"119",0
