FINALIDADE,DURACAO-EM-MESES,NUMERO-DE-PAGINAS,DISPONIBILIDADE,INSTITUICAO-FINANCIADORA,CIDADE-DO-TRABALHO,FINALIDADE-INGLES,TRABALHO-TECNICO_Id
"Estudo sobre a agricultura brasileira","12","150","IRRESTRITA","FECAMP/UNICAMP","Campinas - SP","",0
"Estudo da inserção da mulher na região metropolitana de São Paulo","24","80","IRRESTRITA","CNPq","Campinas-SP","",1
"Estudo da inserção da mulher no mercado de trabalho da região metropolitana de São Paulo.","24","80","IRRESTRITA","CNPq","Campinas-SP","",2
"Construção de Indicadores Econômicos","24","150","IRRESTRITA","FECAMP/IE/UNICAMP","Campinas - SP","",3
"Parecerista","0","0","RESTRITA","FAEP - Fundo de apoio a Pesquisa","Campinas - SP","",4
"Parecerista","0","0","RESTRITA","Fundação Getúlio Vargas","São Paulo - SP","",5
"Parecerista","0","0","NAO_INFORMADO","ABEP - Associação Brasileira de Estudos Populacionais","São Paulo - SP","",6
"Parecerista","0","0","NAO_INFORMADO","FAPESP - Fundação de Amparo à Pesquisa do Estado de São Paulo","São Paulo - SP","",7
"Membro efetivo","","0","RESTRITA","ABEP","São Paulo - SP","",8
"Membro efetivo","0","0","RESTRITA","ABET","São Paulo - SP","",9
"Pesquisa","","160","NAO_INFORMADO","Centro de Estudos e Pesquisas de Administração Municipal - CEPAM","São Paulo","",10
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",11
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",12
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",13
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",14
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",15
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",16
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",17
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",18
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",19
"SEMINÁRIO TRIPARTITE ORGANIZADO PELA OIT - Organização Internacional do Trabalho.","","","IRRESTRITA","OIT","Brasília","",20
"","","","NAO_INFORMADO","","","",21
"","","","NAO_INFORMADO","","","",22
"","","","NAO_INFORMADO","","","",23
"","","","NAO_INFORMADO","","","",24
"","","","NAO_INFORMADO","","","",25
"","","","NAO_INFORMADO","","","",26
"","","","NAO_INFORMADO","","","",27
"Assessoria FAPESP","","","NAO_INFORMADO","","","",28
"Relatório final","30","","IRRESTRITA","FINEP","Campinas","",29
