PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"10","ANTERIOR","08","2003","03","2007","007937000008","Instituto de Economia","007937006006","Centro de Estudos Sindicais e de Economia do Trabalho",0
1,"15","ANTERIOR","06","2005","06","2006","007937000008","Instituto de Economia","007937006006","Centro de Estudos Sindicais e de Economia do Trabalho",0
2,"16","ANTERIOR","","2006","03","2009","007937000008","Instituto de Economia","007937006006","Centro de Estudos Sindicais e de Economia do Trabalho",0
3,"17","ATUAL","","2007","","","007937000008","Instituto de Economia","","",0
4,"18","ANTERIOR","","2008","","2008","007937000008","Instituto de Economia","007937006006","Centro de Estudos Sindicais e de Economia do Trabalho",0
5,"28","ANTERIOR","","2010","","2013","007937000008","Instituto de Economia","","",0
6,"32","ANTERIOR","","2001","","2003","007937000008","Instituto de Economia","","",0
7,"33","ANTERIOR","","1999","","2001","007937000008","Instituto de Economia","","",0
8,"34","ANTERIOR","","1997","","1998","007937000008","Instituto de Economia","","",0
9,"44","ANTERIOR","","2006","","2008","007937000008","Instituto de Economia","","",0
10,"45","ANTERIOR","","2003","","2007","007937000008","Instituto de Economia","","",0
11,"46","ANTERIOR","","1995","","1996","007937000008","Instituto de Economia","","",0
12,"51","ATUAL","","2013","","","007937000008","Instituto de Economia","","",0
13,"9","ANTERIOR","10","1999","03","2003","007937000008","Instituto de Economia","007937001993","Nucleo de Economia Agrícola",0
14,"31","ANTERIOR","","2011","","2012","J5BI01000990","Organização Internacional do Trabalho - OIT","","",1
15,"53","ATUAL","","2014","","","001201000995","Centro de Estudos Sindicais e de Economia do Trabalho","","",2
