NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-CONGRESSO_Id
"VIII Global Labour University Conference: Sustainable growth, development and labour: progressive responses at local, national and global level.","","","","Campinas/SP","",0
"III Congreso de la Associación Latinoamericana de Población","","","","Argentina","",1
"BRITISH UNIVERSITIES INDUSTRIAL RELATIONS ASSOCIATION","","","","Londres","",2
"10th Global Labor University Conference","","","","Washington D.C'","",3
"V Congreso de la Asociación Latinoamericana de Población - ALAP","","","","Montevideo","",4
"XXIX Internacional Congress of the Latin American Studies Association (LASA)","","","","Toronto","",5
"II Congreso de Economía Feminista","","","","Zaragoza","",6
"Estructura ocupacional, diversidad de remuneraciones y género en regiones metropolitanas de Brasil","","","","Tours","",7
"54 International Congress of Americanists: Building Dialogues in the Americas.","","","","Viena","",8
"I Congresso Iberoamericano de Relaciones Laborales y Recursos Humanos","","","","Sevilla","",9
"13th International Conference Development in Economic Theory and Policy","","","","Bilbao","",10
"14th International Conference Developments in Economic Theory and Policy","","","","Bilbao","",11
"VI Global labour University (GLU) Conference","","","","Berlim","",12
"XIV Encontro Nacional da ABET","","","","CAMPINAS","",13
"XXVIII LASA International Congress","","","","Rio de Janeiro","",14
"VII Congresso Latino-Americano de Estudos do Trabalho: O trabalho no século XXI. Mudanças, impactos e perspectivas - ALAST","","","","São Paulo","",15
"LASA 2016","","","","Nova Iorque","",16
"XLV Congresso da SOBER: Conhecimentos para Agricultura do Futuro","","","","Londrina - PR","",17
"XXX Congresso Internacional da Associação de Estudos Latino-Americanos - LASA","","","","San Francisco","",18
"XIV Encontro Nacional da ABET","","","","CAMPINAS","",19
"II Congreso de La Asociación Latinoamericana de Población: La demografía latinoamericana del siglo XXI","","","","Guadalajara","",20
"Alumni Workshop - Glu - Decent Work","","","","Campinas","",21
"54 International Congress od Americanists: Building Dialogues in the Americas.","","","","Viena","",22
"VIII Global Labour University Conference: Sustainable growth, development and labour: progressive at local, national and global level.","","","","Campinas/SP","",23
"XX Congresso Interno de Iniciação Científica da Unicamp","","","","Campinas/SP","",24
"Módulo 1 - Métodos Quantitativos","","","","Piracicaba - SP","",25
"12th International Conference Developments in Economic Theory and Policy","","","","Bilbau","",26
"Efectos de los grados de escolaridad sobre los ingresos desde una perspectiva de género en la Região Metropolitana de São Paulo","","","","Tours","",27
"XXVI Congreso de ALAS - Asociación Latinoamericana de Sociología","","","","Guadalajara","",28
"11th Annual Glu Conference "The just transition and market in 2015"","","","","Jonerburgo","",29
"17th Conference of the Research Network "Macroeconomic and Macroecononomic Policies"","","","","Berlim","",30
"52° Congresso Internacional de Americanistas","","","","Sevilla","",31
