NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
"Doutorado","Inovação e Desigualdade no Desenvolvimento da Agricultura Paulista","1999","Brasil","Português","","","",0
"Doutorado","Evolução das Ocupações Não-Agrícolas no Meio Rural Brasileiro - 1981-1995","1999","Brasil","Português","","","",1
"Doutorado","Desigualdade e Pobreza no México: São Inevitáveis?","1998","Brasil","Português","","","",2
"Doutorado","A Relação entre a Habilidade Viso-Pictórica e o Domínio de Conceitos Estatísticos na Leitura de Gráficos","2002","Brasil","Português","","","",3
"Doutorado","Participação das Aposentadorias e Pensões na Desigualdade da Distribuição da Renda no Brasil no Período de 1981 a 2001","2003","Brasil","Português","","","",4
"Doutorado","Campinas e seus rurais","2006","Brasil","Português","","","",5
"Doutorado","Espacialização de Classes no Brasil: uma nova dimensão para análise da estrutura social","2006","Brasil","Português","","","",6
"Doutorado","Mulheres migrantes: senhoras de seu destino? Uma análise da migração interna feminina no Brasil: 1981/1991","2009","Brasil","Português","","","",7
"Doutorado","Mulher e Trabalho no brasil dos Anos 90.","2004","Brasil","Português","","","",8
"Doutorado","Sistema Previdenciário Brasileiro: aspectos macroeconômicos e distribuitivos","2005","Brasil","Português","","","",9
"Doutorado","Relações de Trabalho na Agricultura Paulista no Período recente","2007","Brasil","Português","","","",10
"Doutorado","Diferenças salariais entre os gêneros no setor público: evolução e principais determinantes","2010","Brasil","Português","","","",11
"Doutorado","Entre o prover, o cuidar e p trabalhar: participação de mulheres unidas no provimento doméstico e seus reflexos na organização familiar.","2012","Brasil","Português","","","",12
"Doutorado","Pobreza Multidimensional no Brasil rural e urbano","2017","Brasil","Português","","","",13
"Doutorado","As escalas de experiência de insegurança alimentar como perspectiva da pobreza em Brasil","2017","Brasil","Português","","","",14
