CODIGO-INSTITUICAO,SIGLA-INSTITUICAO,SIGLA-UF-INSTITUICAO,SIGLA-PAIS-INSTITUICAO,NOME-PAIS-INSTITUICAO,FLAG-AGENCIA-FOMENTO,FLAG-INSTITUICAO-DE-ENSINO,INFORMACOES-ADICIONAIS-INSTITUICOES_Id
"000100000991","ESALQ/USP","SP","BRA","Brasil","NAO","NAO",0
"000200000993","PRESTA","","BEL","Bélgica","NAO","NAO",0
"000300000995","UE","","BEL","Bélgica","SIM","NAO",0
"000400000997","UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"000500000999","IE - UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"000600000990","UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"000700000992","IE - UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"000701000996","","SP","BRA","Brasil","NAO","NAO",0
"000800000994","UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"000900000996","CEPAM","SP","BRA","Brasil","NAO","NAO",0
"001000000998","OIT","GO","BRA","Brasil","SIM","NAO",0
"001100000990","IE/UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"001200000991","IE/UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"001201000995","","SP","BRA","Brasil","NAO","NAO",0
"001300000993","USP","SP","BRA","Brasil","NAO","NAO",0
"001400000995","USP","SP","BRA","Brasil","NAO","NAO",0
"001500000997","SAE - UNICAMP","SP","BRA","Brasil","SIM","NAO",0
"001600000999","","","","","NAO","NAO",0
"001700000990","","","","","NAO","NAO",0
"001800000992","GLU","","IDN","Indonésia","SIM","NAO",0
"001900000994","","","","","NAO","NAO",0
"002000000996","","","","","NAO","NAO",0
"002100000998","","","","","NAO","NAO",0
"002200000000","CNPq","DF","BRA","Brasil","SIM","SIM",0
"002200000990","","","","","NAO","NAO",0
"002300000991","AFPU","SP","BRA","Brasil","SIM","NAO",0
"002400000993","","","","","NAO","NAO",0
"002500000995","","","","","NAO","NAO",0
"002600000997","","","","","NAO","NAO",0
"002700000999","PIBIC/CNPQ","SP","BRA","Brasil","SIM","NAO",0
"002800000990","IFCH/UNICAMP","SP","BRA","Brasil","NAO","NAO",0
"002900000992","","","","","NAO","NAO",0
"003000000994","SAE","SP","BRA","Brasil","NAO","NAO",0
"003100000996","SAE","SP","BRA","Brasil","NAO","NAO",0
"003200000998","FES","","RFA","Alemanha","SIM","NAO",0
"003300000990","KASSEL","","RFA","Alemanha","SIM","NAO",0
"006700000002","USP","SP","BRA","Brasil","NAO","SIM",0
"007900000004","UNICAMP","SP","BRA","Brasil","NAO","SIM",0
"007937001993","","SP","BRA","Brasil","NAO","NAO",0
"007942001998","","SP","BRA","Brasil","NAO","NAO",0
"007942002994","","SP","BRA","Brasil","NAO","NAO",0
"007943000995","","SP","BRA","Brasil","NAO","NAO",0
"007944000999","","SP","BRA","Brasil","NAO","NAO",0
"007945000992","","SP","BRA","Brasil","NAO","NAO",0
"007946000996","","SP","BRA","Brasil","NAO","NAO",0
"007947000990","","SP","BRA","Brasil","NAO","NAO",0
"007948000993","","SP","BRA","Brasil","NAO","NAO",0
"007949000997","","SP","BRA","Brasil","NAO","NAO",0
"103800000006","UDEC","","CHL","Chile","NAO","NAO",0
"J5BI00000007","OIT","DF","BRA","Brasil","NAO","NAO",0
"J5BI01000990","","DF","BRA","Brasil","NAO","NAO",0
