CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","ANPEC - Encontro Nacional de Economia da ANPEC","Belo Horizonte","1988","Anais do XVI Encontro da ANPEC","III","","","229","249","","ANPEC","Belo Horizonte","",0
"NACIONAL","Encontro Nacional de Estudos Populacionais da ABEP","Caxambu - MG","1994","Anais do IX Encontro Nacional de Estudos Populacionais","3","","","239","258","","ABEP","Belo Horizonte","",1
"NACIONAL","X Encontro da Associação Brasileira de Estudos Populacionais","Caxambu-MG","1996","Anais do X Encontro da Associação Brasileira de Estudos Populacionais","1","","","535","546","","ABEP","Belo Horizonte","",2
"NACIONAL","XI Encontro da Associação Brasileira de Estudos Populacionais","Caxambu - MG","1998","Anais do XI Encontro da Associação Brasileira de Estudos Populacionais","","","","","","","ABEP","Belo Horizonte","",3
"NACIONAL","11º SINAPE - Simpósio Nacional de Probabilidade e Estatística","Belo Horizonte","1994","Anais do XI SINAPE - Programas e Resumos","","","","","","","","Belo Horizonte","",4
"NACIONAL","XII Encontro Nacional de Estudos de Populção - ABEP","Caxambu - MG","2000","ANAIS do XII Encontro Nacional de Estudos de População","","","","","","","","","",5
"NACIONAL","XXVIII Encontro Nacional de Economia - ANPEC","Campinas - SP","2000","ANAIS do XXVIII Encontro Nacional de Economia- ANPEC","","","","","","","","","",6
"NAO_INFORMADO","IV Encontro Nacional de Estudos do Trabalho","São Paulo","","ANAIS do IV Encontro Nacional de Estudos do Trabalho","I","","","173","194","","ABET","São Paulo","",7
"NAO_INFORMADO","1ª Jornada Latinoamericana de Estatística Aplicada","São Carlos - SP","1999","ANAIS 1ª Jornada Latinoamericana de Estatística aplicada","01","","","15","39","","FAI-UFSC/ULB","São Carlos - SP","",8
"NACIONAL","XIII Encontro Nacional de Estudos Populacionais","Ouro Preto","2002","XIII Encontro Nacional de Estudos Populacionais","","","","","","8588258021","ABEP","Ouro Preto","",9
"INTERNACIONAL","V Coloquio Latinoamericano de Economistas Políticos","Cidade de México","2005","V Coloquio Latinoamericano de Economistas Políticos. "América Latina y el rumbo del capitalismo".","","","","","","","","","",10
"NACIONAL","XXV Congresso - ALAS - Associação Latinoamericana de Sociologia","Porto Alegre","2005","ALAS Associação Latino_Americana de Sociologia XXV Congresso","","","","","","","","","",11
"NACIONAL","IX Encontro Nacional da Associação Brasileira de Estudos do Trabalho","Recife","2005","IX Encontro Nacional da Associação Brasileira de Estudos do Trabalho","","","","","","","","","",12
"INTERNACIONAL","XXV http://www.iussp.org","Tours","2005","XXV Conferencia Internacional de Población","","","","","","","","","",13
"NACIONAL","XIV Encontro Nacional de Estudos Populacionais","Caxambu","2004","XIV Encontro Nacional de Estudos Populacionais","","","","","","","","","",14
"NAO_INFORMADO","Trabalho Feminino nas áreas rurais do Brasil, nos anos 90","Campinas","2003","O novo rural brasileiro","6","","","219","242","8573832436","Embrapa","Brasilia","",15
"INTERNACIONAL","III Seminário Novo Rural Brasileiro","Campinas","2004","O Novo Rural Brasileiro: Novas atividades rurais","6","","","219","242","8573832436","Embrapa","","",16
"INTERNACIONAL","XXIV Conferência Geral de População","Salvador","2001","XXIV Conferência Geral de População","","","","","","","","","",17
"NAO_INFORMADO","XXIV General Conference IUSSP","Salvador - BA","2001","XXIV General Conference IUSSP","","","","","","","","","",18
