OUTRAS-INFORMACOES-RELEVANTES,DADOS-GERAIS_Id
"Capítulo de livro ?Desigualdades de gênero e raça no mercado de trabalho brasileiro?, encomendado pelo International Center for Development and Decent Work (ICDD), a ser publicado em 2014, com co-autoria de Marcelo Proni. 

2013 - Convidada como Pesquisadora Sênior para ministrar curso no International Center for Development and Decent Work (ICDD) da University of Kassel - Alemanha, entre setembro e dezembro de 2013.

 - Capítulo de livro "Las mujeres brasileñas en el mercado laboral y en la organización sindical" a ser publicado em setembro de 2013 pela Universidad Nacional Autónoma de México no livro: "Trabajo y explotación en América Latina: Brasil y México".

09/2009 - 12/2009 - Professora convidada para Ruskin College - Oxford, Inglaterra - pela Global Labour 
University.

2012 - Organização de Seminário a ser realizado em setembro de 2012, parte da Global Labour University - GLU.",0
