INSTITUICAO-PROMOTORA,DURACAO-EM-SEMANAS,FLAG-EVENTO-ITINERANTE,FLAG-CATALOGO,LOCAL,CIDADE,ORGANIZACAO-DE-EVENTO_Id
"Universidade de Viena","","N","","Austria","Viena",0
"Universidade Estadual de Campinas/ Cesit","1","N","","Instituto de Economia Unicamp","Campinas/SP",1
