NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,NOME-DO-PREMIO-OU-TITULO-INGLES,PREMIOS-TITULOS_Id
"Professora homenageada pela Turma de Formandos do Curso de Ciências Econômicas - 2002 noturno","Instituto de Economia - UNICAMP","2002","",0
"Mérito Científico pela orientação da aluna Camila Santos Matos de F. Ribeiro","UNICAMP/PIBIC/CNPq","2007","",0
"Professora homenageada pela Turma de Formandos do Curso de Ciências Econômicas - 2007","Instiuto de Economia - UNICAMP","2007","",0
"Prêmio de Reconhecimento Docente pela Dedicação ao Ensino de Graduação","Universidade Estadual de Campinas","2014","",0
