PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"113",0
1,"234",0
2,"235",0
3,"236",0
4,"237",0
5,"244",0
6,"245",0
7,"355",0
8,"362",0
9,"363",0
10,"233",0
