ATUACAO-PROFISSIONAL_Id,CODIGO-INSTITUICAO,NOME-INSTITUICAO,SEQUENCIA-ATIVIDADE,SEQUENCIA-IMPORTANCIA,ATUACOES-PROFISSIONAIS_Id
0,"007900000004","Universidade Estadual de Campinas","1","",0
1,"J5BI00000007","Organizacão Internacional do Trabalho","2","",0
2,"001600000999","Revista Bahia Análise e Dados","3","",0
3,"001700000990","Revista Brasileira de Estudos da População","4","",0
4,"001900000994","Revista Brasileira de Estudos de População (Impresso)","5","",0
5,"002000000996","Revista de Estudos Feministas","6","",0
6,"002100000998","Economia - Revista da ANPEC","7","",0
7,"002200000990","Revista de Economia Contemporânea (Impresso)","8","",0
8,"002300000991","Agência para Formação Profissional da Unicamp","9","",0
9,"002400000993","Economia e Sociedade (UNICAMP. Impresso)","10","",0
10,"002500000995","Nova Economia (UFMG. Impresso)","11","",0
11,"002600000997","Cadernos Pagu (UNICAMP. Impresso)","12","",0
12,"002200000000","Conselho Nacional de Desenvolvimento Científico e Tecnológico","13","",0
13,"002700000999","Programa Institucional de Bolsas de Iniciação Científica - CNPq","14","",0
14,"002900000992","Revista Brasileira de Estudos de População (Impresso)","15","",0
15,"001200000991","Instituto de Economia - UNICAMP","16","",0
