CAPITULO-DE-LIVRO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,CAPITULOS-DE-LIVROS-PUBLICADOS_Id
0,"8",0
1,"9",0
2,"23",0
3,"79",0
4,"93",0
5,"109",0
6,"151",0
7,"152",0
8,"181",0
9,"214",0
10,"250",0
11,"281",0
12,"282",0
13,"336",0
14,"343",0
15,"344",0
16,"415",0
17,"426",0
18,"170",0
