APRESENTACAO-DE-TRABALHO_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-TECNICA_Id
0,"149",0
1,"150",0
2,"199",0
3,"201",0
4,"205",0
5,"212",0
6,"221",0
7,"222",0
8,"223",0
9,"224",0
10,"225",0
11,"226",0
12,"227",0
13,"228",0
14,"229",0
15,"232",0
16,"253",0
17,"255",0
18,"267",0
19,"285",0
20,"286",0
21,"287",0
22,"288",0
23,"290",0
24,"304",0
25,"305",0
26,"310",0
27,"311",0
28,"312",0
29,"313",0
30,"314",0
31,"315",0
32,"345",0
33,"347",0
34,"370",0
35,"374",0
36,"383",0
37,"385",0
38,"393",0
39,"394",0
40,"408",0
41,"419",0
42,"425",0
43,"412",0
