OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SEQUENCIA-PRODUCAO,DEMAIS-TIPOS-DE-PRODUCAO-BIBLIOGRAFICA_Id
0,"44",0
1,"46",0
2,"45",0
