NUMERO-DE-VOLUMES,NUMERO-DE-PAGINAS,ISBN,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,LIVRO-PUBLICADO-OU-ORGANIZADO_Id
"v.1","171","9788588258228","1ed","","Campinas","NEPO/NEPP/IE/UNICAMP",0
"v.2","264","9788588258242","1ed","","Campinas","NEPO/NEPP/IE/UNICAMP",1
"v.3","252","9788588258259","1ed","","Campinas","NEPO/NEPP/IE/UNICAMP",2
"v.4","316","9788588258266","1ed","","Campinas","NEPO/NEPP/IE/UNICAMP",3
"1","256","9788599944332","1","","Campinas/SP","Curt Nimuendajú",4
"1","135","9788599944424","1","","Campinas - SP","Curt Nimuendajú",5
"1","259","9788586215926","1","","São Paulo","Curt Nimuendajú",6
