NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-ENCONTRO_Id
"XVIII Encontro Nacional de Estudos Populacionais: Transformações na População Brasileira: complexidades, incertezas e perspectivas? Pr","","","","Águas de Lindóia","",0
"VI Encontro Regional da ABET","","","","João Pessoa - PB","",1
"Mercado de Trabalho Metropolitano: Gênero e Diferenças de Rendimento, 1992 - 2002","","","","Recife","",2
"XVI Encontro Nacional de Estudos Populacionais","","","","Caxambu","",3
"XVIII Encontro Nacional de Estudos Populacionais: Transformações na População Brasileira: complexidades, incertezas e perspectivas? Pr","","","","Águas de Lindóia","",4
"Segundo Encuentro del Comité Académico internacional","","","","Santiago - Chile","",5
"Menezes, Wilson. Inserção e Rendimentos do Trabalho doméstico na Região Metropolitana de Salvador","","","","Recife","",6
"XV Encontro Nacional da ABET","","","","Rio de Janeiro","",7
"X Encontro Nacional da ABET: Balanço e Perspectivas do Trabalho no Brasil","","","","Salvador - BA","",8
"XV Encontro Nacional de Estudos Populacionais","","","","Caxambu - MG","",9
"XVII Encontro Nacional de Estudos Populacionais","","","","Caxambu","",10
"XI Encontro Nacional da Associação Brasileira de Estudos do Trabalho - ABET","","","","Campinas - SP","",11
"Mudanças no Trabalho da Mulher na Região Metropolitana de São Paulo nos Anos 90","","","","Ouro Preto - MG","",12
"X Encontro Nacional da ABET: Balanço e Perspectivas do Trabalho no Brasil","","","","Salvador - BA","",13
"XVII Encontro Nacional de Estudos Populacionais","","","","Caxambu","",14
"XV Encontro Nacional da ABET","","","","Rio de Janeiro","",15
"População ocupada, escolaridade e rendimentos: uma comparação entre homens e mulheres em regiões metropolitanas","","","","Caxambu - MG","",16
"XVI Encontro Nacional de Estudos Populacionais","","","","Caxambu","",17
"XIX Encontro Nacional de Estudos Populacionais","","","","São Pedro","",18
"XV Encontro Nacional de Estudos Populacionais","","","","Caxambu - MG","",19
"Coordenadora e Debatedora da Sessão Temática VIII - Mercado de Trabalho Formal: espaço e emprego","","","","Recife","",20
