TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,RELATORIO-DE-PESQUISA_Id
"Tendências Demográficas e Condições Sociais","2006","Brasil","Português","MEIO_DIGITAL","","NAO","","",0
"Mercado de Trabalho nas Áreas Metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina","2006","Brasil","Português","IMPRESSO","","NAO","","",1
"Mercado de Trabalho nas Áreas Metropolitanas de 1992 a 2002: efeitos sobre a população masculina e feminina; Mercado de Trabalho, Gênero e Renda Familiar","2007","Brasil","Português","NAO_INFORMADO","","NAO","","",2
"Estrutura Ocupacional, Diversidade de Rendimentos e gênero em regiões metropolitanas do Brasil","2006","Brasil","Português","IMPRESSO","","NAO","","",3
