EMISSORA,TEMA,DATA-DA-APRESENTACAO,DURACAO-EM-MINUTOS,CIDADE,PROGRAMA-DE-RADIO-OU-TV_Id
"","XIX Encontro Nacional de Estudos Populacionais","26112014","60","",0
"","Políticas de Empleo","28012016","60","",1
"","","06092017","60","",2
"14th International Conference Developments in Economic Theory and Policy","","06092017","60","",3
"3ª Conferência Nacional de Produtores e Usuários de Informações Estatísticas, Geográficas e Ambientais","","09122016","60","",4
"Semana da Economia 2016 - Instituto de Economia da UNICAMP","","20092016","","",5
"Revista Pesquisa FAPESP - Edição Especial de 50 anos","Resultado de pesquisa","01052012","","",6
