IDIOMA,DESCRICAO-DO-IDIOMA,PROFICIENCIA-DE-LEITURA,PROFICIENCIA-DE-FALA,PROFICIENCIA-DE-ESCRITA,PROFICIENCIA-DE-COMPREENSAO,IDIOMAS_Id
"PT","Português","BEM","BEM","BEM","BEM",0
"ES","Espanhol","BEM","BEM","BEM","BEM",0
"EN","Inglês","BEM","BEM","BEM","BEM",0
"FR","Francês","BEM","POUCO","RAZOAVELMENTE","BEM",0
