PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"48",0
1,"49",0
2,"50",0
3,"74",0
4,"88",0
5,"112",0
6,"115",0
7,"192",0
8,"241",0
9,"242",0
10,"243",0
11,"263",0
12,"356",0
13,"430",0
14,"431",0
