NIVEL-DO-CURSO,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"OUTRA","Labour Policies and Globalisation Master Programme","2008","Alemanha","Inglês","NAO_INFORMADO","","NAO","","Labour Policies and Globalisation Master Programme","NAO",0
"EXTENSAO","Negociações Coletivas e os Impactos da Reforma Sindical em Londrina","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",1
"EXTENSAO","Negociações Coletivas e os Impactos da Reforma Sindical em Curitiba","2009","Brasil","Português","NAO_INFORMADO","","NAO","","","NAO",2
