SEQUENCIA-AREA-DE-ATUACAO,NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DE-ATUACAO_Id
"1","CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia dos Recursos Humanos","Demografia Econômica",0
"2","CIENCIAS_SOCIAIS_APLICADAS","Economia","Economia dos Recursos Humanos","Mercado de Trabalho; Política do Governo",0
"3","CIENCIAS_EXATAS_E_DA_TERRA","Probabilidade e Estatística","","",0
