TEXTO-EM-JORNAL-OU-REVISTA_Id,SEQUENCIA-PRODUCAO,TEXTOS-EM-JORNAIS-OU-REVISTAS_Id
0,"32",0
1,"72",0
2,"166",0
3,"301",0
4,"302",0
5,"33",0
