PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","Global Labour University; Kassel University and the Berlin School of Economics","Kassel University","Kassel","13","dias","",0
"DOCENTE","Curso de Extensão em Economia do Trabalho para Magistrados e Servidores Públicos - TRT da 9a. Região","TRT da 9a. Região","Londrina","1","dias","",1
"DOCENTE","Curso de Extensão em Economia do Trabalho para Magistrados e Servidores Públicos - TRT da 9a. Região","TRT da 9a. Região","Curitiba","1","dias","",2
