TITULO-DO-JORNAL-OU-REVISTA,ISSN,DATA-DE-PUBLICACAO,VOLUME,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,TEXTO-EM-JORNAL-OU-REVISTA_Id
"Jornal da Fundação","","25081998","","04","07","Marilia - SP",0
"Revista Mulher e Trabalho","","11122001","6","3","28","São Paulo - SP",1
"Jornal da UNICAMP","","26112007","","9","9","Campinas",2
"Valor Econômico","","05112007","","","","",3
"Jornal da Unicamp","","16032009","","9","9","Unicamp",4
"Mulheres","","03091998","","","","São Paulo",5
