TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"1",0
1,"2",0
2,"3",0
3,"4",0
4,"20",0
5,"24",0
6,"25",0
7,"27",0
8,"28",0
9,"90",0
10,"101",0
11,"102",0
12,"103",0
13,"104",0
14,"122",0
15,"123",0
16,"124",0
17,"126",0
18,"127",0
19,"148",0
20,"174",0
21,"177",0
22,"203",0
23,"209",0
24,"210",0
25,"211",0
26,"230",0
27,"246",0
28,"247",0
29,"248",0
30,"249",0
31,"261",0
32,"269",0
33,"270",0
34,"274",0
35,"283",0
36,"284",0
37,"308",0
38,"309",0
39,"341",0
40,"371",0
41,"395",0
42,"396",0
43,"400",0
44,"402",0
45,"422",0
46,"372",0
