TRABALHO-TECNICO_Id,SEQUENCIA-PRODUCAO,PRODUCAO-TECNICA_Id
0,"40",0
1,"41",0
2,"42",0
3,"43",0
4,"80",0
5,"81",0
6,"82",0
7,"83",0
8,"85",0
9,"86",0
10,"184",0
11,"292",0
12,"293",0
13,"294",0
14,"295",0
15,"296",0
16,"297",0
17,"298",0
18,"299",0
19,"300",0
20,"316",0
21,"319",0
22,"331",0
23,"332",0
24,"333",0
25,"334",0
26,"338",0
27,"339",0
28,"368",0
29,"291",0
