PARTICIPACAO-EM-ENCONTRO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-EVENTOS-CONGRESSOS_Id
0,"352",0
1,"163",0
2,"98",0
3,"173",0
4,"351",0
5,"306",0
6,"144",0
7,"404",0
8,"156",0
9,"146",0
10,"268",0
11,"200",0
12,"73",0
13,"157",0
14,"271",0
15,"405",0
16,"99",0
17,"175",0
18,"418",0
19,"147",0
20,"131",0
