NATUREZA,TITULO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-INGLES,NATUREZA-INGLES,FLAG-DIVULGACAO-CIENTIFICA,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id
"Texto para Discussão N:81","Renda e Trabalho da Mulher na Região Metropolitana de São Paulo nos anos 80 e 90","1999","Brasil","Português","IMPRESSO","","NAO","","","","NAO",0
"Texto para Discussão N:46","Manifestações da Pobreza Agrícola no Brasil em 1990.","1995","Brasil","Português","IMPRESSO","","NAO","","","","NAO",1
"Texto para Discussão N:66","Uma Tipologia dos Municípios Paulistas com base em Indicadores Sociodemográficos","1999","Brasil","Português","IMPRESSO","","NAO","","","","NAO",2
