NOME,ENTIDADE_PROMOTORA,ANO_DA_PREMIACAO
Menção Honrosa - Trabalho de Iniciação científica apresentado no SIICUSP 2001,CNPq / USP,2001
Livre Docente,UNICAMP,2008
IEEE Senior member,IEEE,2008
3o. melhor trabalho no grupo GPC do XX Seminário Nacional de Produção e Transmissão de Energia Elétrica,Cigré - Brasil,2009
Melhor Tema Livre - XVIII Congresso Interno de Iniciação Científica da UNICAMP,UNICAMP,2010
Indicação da tese de doutorado para Prêmio CAPES de Tese 2012 pela FEEC/UNICAMP - Controle Adaptativo Para Religamento Tripolar Aplicado a Linhas de Transmissão com Compensação Reativa em Derivação?,FEEC/UNICAMP,2012
Prêmio Inventores UNICAMP 2015 na categoria Patente Concedida,INOVA / UNICAMP,2015
