NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Maria Cristina Dias Tavares,"TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares",SIM,ESTUDOS PRÉ-OPERACIONAIS DE TRANSITÓRIOS ELETROMAGNÉTICOS PARA A EXPANSÃO DA INTERLIGAÇÃO NORDESTE-SUDESTE
Maria Cristina Dias Tavares,"TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares",SIM,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
José Pissolato Filho,"PISSOLATO FILHO, José",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Afonso José do Prado,"PRADO, Afonso José Do",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Sergio Kurokawa,"KUROKAWA, Sergio",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Michel Gonçalves Pinheiro,"PINHEIRO, Michel Gonçalves",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Carlos Medeiros Portela,"PORTELA, Carlos Medeiros",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Paulo Araujo Prado,"PRADO, P. A.",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Clayton Rodrigues Cintra,"CINTRA, Clayton Rodrigues",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
João Bosco Gertrudes,"GERTRUDES, João Bosco",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Leandro Lima,"LIMA, Leandro",NAO,Projeto Integrado CNPq no 520061/99-3b- Desenvolvimento de Modelos para Estudos de Transitórios Eletromagnéticos e Estudo de Descargas Atmosféricas
Maria Cristina Dias Tavares,"TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares",SIM,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
José Pissolato Filho,"PISSOLATO FILHO, José",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Afonso José do Prado,"PRADO, Afonso José Do",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Sergio Kurokawa,"KUROKAWA, Sergio",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Michel Gonçalves Pinheiro,"PINHEIRO, Michel Gonçalves",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Carlos Medeiros Portela,"PORTELA, Carlos Medeiros",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Marcos de Araujo Paz,"PAZ, Marcos de Araujo",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Paulo Araujo Prado,"PRADO, P. A.",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Clayton Rodrigues Cintra,"CINTRA, Clayton Rodrigues",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
João Bosco Gertrudes,"GERTRUDES, João Bosco",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Leandro Lima,"LIMA, Leandro",NAO,Edital Universal 2001 no 479486/01-8 a - DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE DESCARGAS ATMOSFÉRICAS
Maria Cristina Dias Tavares,"TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares",SIM,COPPETEC - Desenvolvimento de Modelo de Arco Secundário
Allan Alves Montanari,"MONTANARI, Allan Alves",NAO,COPPETEC - Desenvolvimento de Modelo de Arco Secundário
Gilmário Barbosa dos Santos,"Santos, G. B.",NAO,COPPETEC - Desenvolvimento de Modelo de Arco Secundário
Jonas Lemos Talaisys,"Talaisys, J. L.",NAO,COPPETEC - Desenvolvimento de Modelo de Arco Secundário
Maria Cristina Dias Tavares,"TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares",SIM,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
Michel Gonçalves Pinheiro,"PINHEIRO, Michel Gonçalves",NAO,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
Marcos de Araujo Paz,"PAZ, Marcos de Araujo",NAO,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
João Bosco Gertrudes,"GERTRUDES, João Bosco",NAO,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
Milton Elvis Zevallos Alcahuaman,"ALCAHUAMAN, Milton Elvis Zevallos",NAO,Projeto Individual Fapesp proc 2004/09331-0- DESENVOLVIMENTO DE MODELOS PARA ESTUDOS DE TRANSITÓRIOS ELETROMAGNÉTICOS E ESTUDO DE RELIGAMENTO MONOPOLAR
