NOME_INSTITUICAO
Nortel Networks
Instituto Nokia de Tecnologia
Universidade Estadual de Campinas
SOCIAL NETWORK ANALYSIS AND MINING
SOFT COMPUTING
ENTERTAINMENT COMPUTING
