NOME_INSTITUICAO,NATUREZA,PROJETO_NOME
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Sistema de Identificação de Polimorfismos
Financiadora de Estudos e Projetos,AUXILIO_FINANCEIRO,Técnicas Avançadas de Engenharia de Software em Bioinformática
Asga Microeletrônica S/A,AUXILIO_FINANCEIRO,Convênio AsGa / Unicamp
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Sistema Integrador de Dados de Expressão Gênica
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Algoritmos em Otimização Combinatória
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Algoritmos, Otimização Combinatória, Grafos e Modelos Computacionais"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Algoritmos Combinatórios
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Algoritmos, Grafos e Otimização Combinatória"
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,"Algoritmos, Grafos e Otimização Combinatória"
Comitê Francês de Avaliação da Cooperação Universitária com o Brasil,COOPERACAO,Algorithms and Combinatorics for Computational Molecular Biology
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,COOPERACAO,Algorithms and Combinatorics for Computational Molecular Biology
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,CEPID - Center for Computational Engineering and Sciences
Conselho Nacional de Desenvolvimento Científico e Tecnológico,AUXILIO_FINANCEIRO,Problemas de Distância de Rearranjo de Genomas
Fundação de Amparo à Pesquisa do Estado de São Paulo,AUXILIO_FINANCEIRO,Algoritmos para Rearranjos de Genomas
COFECUB,COOPERACAO,Problemas de Rearranjos de Genomas: Algoritmos e Complexidades
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,COOPERACAO,Problemas de Rearranjos de Genomas: Algoritmos e Complexidades
