NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,TIPO-INGLES,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"INICIACAO_CIENTIFICA","","Técnicas para Análise de Desempenho de Máquinas Virtuais","2012","Brasil","Português","","NAO","","","",0
"INICIACAO_CIENTIFICA","","Aceleração da Biblioteca NeoPZ com GPUs","2012","Brasil","Português","","NAO","","","",1
"INICIACAO_CIENTIFICA","","Técnicas para simulação de sistemas operacionais em simuladores funcionais","2012","Brasil","Português","","NAO","","","",2
"INICIACAO_CIENTIFICA","","Estudo do consumo de energia em dispositivos móveis baseados em processadores ARM","2013","Brasil","Português","","NAO","","","",3
"INICIACAO_CIENTIFICA","","PerfCheck: Uma ferramenta para monitoramento do desempenho de programas","2013","Brasil","Português","","NAO","","","",4
"INICIACAO_CIENTIFICA","","Método de Verificação Conjunta para Simuladores de Arquiteturas","2011","Brasil","Português","","NAO","","","",5
"INICIACAO_CIENTIFICA","","A Hybrid Framework to Accelerate Adaptive Compilation Systems","2014","Brasil","Português","","NAO","","","",6
"INICIACAO_CIENTIFICA","","Técnicas para redução do consumo de energia em plataformas móveis com processadores multicore heterogêneos","2014","Brasil","Português","","NAO","","","",7
"INICIACAO_CIENTIFICA","","Cloud-SPITZ: Aceleração do sistema SPITZ com recursos da nuvem","2014","Brasil","Português","","NAO","","","",8
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2012","Brasil","Português","","NAO","","","",9
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2011","Brasil","Português","","NAO","","","",10
"INICIACAO_CIENTIFICA","","Análise Estática para Detecção de Erros de Energia","2016","Brasil","Português","","NAO","","","",11
"INICIACAO_CIENTIFICA","","COISA: A Compact OpenISA Virtual Platform for IoT Devices","2016","Brasil","Português","","NAO","","","",12
"INICIACAO_CIENTIFICA","","Estudo e desenvolvimento de uma plataforma par auxilio ao ensino de pensamento computacional","2015","Brasil","Português","","NAO","","","",13
"INICIACAO_CIENTIFICA","","Análise energética de um sistema com processador heterogêneo","2016","Brasil","Português","","NAO","","","",14
"INICIACAO_CIENTIFICA","","Análise de ajustes de curvas e superfícies de tempo de trânsito em dados sísmicos","2016","Brasil","Português","","NAO","","","",15
"INICIACAO_CIENTIFICA","","Investigação de heurísticas de busca aplicadas à estimação de parâmetros geofísicos","2016","Brasil","Português","","NAO","","","",16
"INICIACAO_CIENTIFICA","","Uma ferramenta para monitoramento do desempenho de programas","2012","Brasil","Português","","NAO","","","",17
"INICIACAO_CIENTIFICA","","Passagens Inteligentes","2016","Brasil","Português","","NAO","","","",18
"INICIACAO_CIENTIFICA","","Análise Estática para Detecção de Erros de Energia","2016","Brasil","Português","","NAO","","","",19
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","Análise e Otimização do Desempenho da Plataforma Virtual COISA","2015","Brasil","Português","","NAO","","","",20
"TRABALHO_DE_CONCLUSAO_DE_CURSO_GRADUACAO","","IoT-Noise: Um Dispositivo IoT de Baixo Custo para Detecção de Poluição Sonora","2016","Brasil","Português","","NAO","","","",21
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2013","Brasil","Português","","NAO","","","",22
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2013","Brasil","Português","","NAO","","","",23
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2012","Brasil","Português","","NAO","","","",24
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2014","Brasil","Português","","NAO","","","",25
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2011","Brasil","Português","","NAO","","","",26
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2011","Brasil","Português","","NAO","","","",27
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2013","Brasil","Português","","NAO","","","",28
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2014","Brasil","Português","","NAO","","","",29
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2014","Brasil","Português","","NAO","","","",30
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2016","Brasil","Português","","NAO","","","",31
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Apoio Didático - PAD","MC404 - Organização de Computadores e Linguagem de Montagem (PAD)","2016","Brasil","Português","","NAO","","","",32
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Estágio Docente - PED","MC404 - Organização de Computadores e Linguagem de Montagem (PED)","2011","Brasil","Português","","NAO","","","",33
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Estágio Docente - PED","MC404 - Organização de Computadores e Linguagem de Montagem (PED)","2012","Brasil","Português","","NAO","","","",34
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Estágio Docente - PED","MC404 - Organização de Computadores e Linguagem de Montagem (PED)","2012","Brasil","Português","","NAO","","","",35
"ORIENTACAO-DE-OUTRA-NATUREZA","Programa de Estágio Docente - PED","MC404 - Organização de Computadores e Linguagem de Montagem (PED)","2013","Brasil","Português","","NAO","","","",36
