PARTICIPACAO-EM-PROJETO_Id,SEQUENCIA-FUNCAO-ATIVIDADE,FLAG-PERIODO,MES-INICIO,ANO-INICIO,MES-FIM,ANO-FIM,CODIGO-ORGAO,NOME-ORGAO,CODIGO-UNIDADE,NOME-UNIDADE,ATIVIDADES-DE-PARTICIPACAO-EM-PROJETO_Id
0,"2","ANTERIOR","","2011","","2013","007901000997","Instituto de Computação","","",0
1,"3","ANTERIOR","","2012","","2016","007901000997","Instituto de Computação","","",0
2,"5","ANTERIOR","","2013","","2015","007901000997","Instituto de Computação","","",0
3,"6","ANTERIOR","","2011","","2015","007913000008","Faculdade de Engenharia Civil, Arquitetura e Urbanismo","","",0
4,"7","ANTERIOR","","2014","","2016","007901000997","Instituto de Computação","","",0
5,"9","ATUAL","","2016","","","007902000990","Centro de Estudos de Petróleo","","",0
6,"10","ANTERIOR","","2012","","2016","007902000990","Centro de Estudos de Petróleo","","",0
7,"11","ANTERIOR","","2011","","2012","007901000997","Instituto de Computação","","",0
8,"12","ANTERIOR","","2002","","2007","007901000997","Instituto de Computação","","",0
9,"13","ATUAL","","2016","","","007901000997","Instituto de Computação","","",0
10,"14","ATUAL","","2017","","","007901000997","Instituto de Computação","","",0
11,"8","ATUAL","","2015","","","007901000997","Instituto de Computação","","",0
