OUTRAS-ORIENTACOES-CONCLUIDAS_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-CONCLUIDAS_Id
0,"48",0
1,"63",0
2,"64",0
3,"108",0
4,"109",0
5,"110",0
6,"131",0
7,"132",0
8,"133",0
9,"200",0
10,"205",0
11,"208",0
12,"209",0
13,"210",0
14,"212",0
15,"213",0
16,"214",0
17,"215",0
18,"216",0
19,"217",0
20,"219",0
21,"220",0
22,"221",0
23,"222",0
24,"223",0
25,"224",0
26,"225",0
27,"226",0
28,"227",0
29,"228",0
30,"229",0
31,"230",0
32,"231",0
33,"232",0
34,"233",0
35,"234",0
36,"235",0
37,"236",0
38,"237",0
39,"238",0
40,"239",0
41,"240",0
42,"241",0
43,"243",0
44,"211",0
