NOME-COMPLETO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,NOME-PARA-CITACAO-DO-PARTICIPANTE-DE-EVENTOS-CONGRESSOS,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",0,,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",1,,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",2,,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",3,,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",4,,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,0,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,1,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,2,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,3,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,4,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,5,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,6,
"Edson Borin","BORIN, E.;BORIN, EDSON","1","4176915322233893",,,0
