PARTICIPACAO-DOS-AUTORES,INSTITUICAO-PROMOTORA-DO-CURSO,LOCAL-DO-CURSO,CIDADE,DURACAO,UNIDADE,UNIDADE-INGLES,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"DOCENTE","Laboratório Nacional de Computação Científica - LNCC","","Petrópolis, RJ","7","horas","",0
"ORGANIZADOR","Unicamp: XIV Ciência & Arte nas Férias","Universidade Estadual de Campinas","Campinas, SP","4","semanas","",1
"NAO_INFORMADO","Escola Regional de Alto Desempenho de São Paulo (ERAD-SP)","Universidade Federal de São Carlos","São Carlos","3","horas","",2
