NOME-DO-CANDIDATO,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id
João Paulo Porto,0
Jurandy Gomes de Almeida Junior,1
Marco Antonio Zanata Alves,2
Osvaldo Adilson de Carvalho Junior,3
Cristiano Bacelar de Oliveira,4
Jorge Henrique Faccipieri Junior,5
Rogério Aparecido Gonçalves,6
Rafael Auler,7
