NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Eduardo Marques","MARQUES, E.","1","",,4,,
"João Manuel Paiva Cardoso","CARDOSO, J. M. P.","4","",,4,,
"Pedro Nuno Cruz Diniz","DINIZ, P. N. C.","5","",,4,,
"Edson Borin","BORIN, E.","2","",,5,,
"Martin Tygel","TYGEL, M.","1","",,5,,
"Tiago Antonio Alves Coimbra","COIMBRA, T. A. A.","3","",,5,,
"Armando Lopes Farias","FARIAS, A. L.","4","",,5,,
"Rodrigo Bloot","BLOOT, R.","5","",,5,,
"Edson Borin","BORIN, E.","5","",,6,,
"Anderson F. Da Silva","SILVA, A. F.","4","",,6,,
"Alfredo Goldman","GOLDMAN, A.","1","",,6,,
"Ricardo Menotti","MENOTTI, R.","2","",,6,,
"Marco Dimas Gubitoso","GUBITOSO, M. D.","3","",,6,,
"Edson Borin","BORIN, E.","1","",,7,,
"Sandro Rigo","RIGO, S.","5","8308517667746974",,7,,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","2","",,7,,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,7,,
"Fernando Magno Quintão Pereira","PEREIRA, F. M. Q.","3","4608001746330875",,7,,
"Edson Borin","BORIN, E.","2","",,,0,
"Mario Lúcio Côrtes","CORTES, M. L.","1","",,,0,
"Alice Maria Bastos Hubinger Tokarnia","TOKARNIA, A. M. B. H.","3","",,,0,
"Paulo Cesar Centoducatte","CENTODUCATTE, P. C.","4","0758877444698557",,,0,
"Edson Borin","BORIN, E.","2","",,,1,
"Guido Araújo","ARAUJO, G.","1","8683914780987242",,,1,
"Ricardo Ribeiro dos Santos","SANTOS, R. R.","3","",,,1,
"Edson Borin","BORIN, E.","3","",,,2,
"Luigi Carro","CARRO, L.","1","",,,2,
"Flávio Rech Wagner","WAGNER, F. R.","2","",,,2,
"Edson Borin","BORIN, E.","2","",,,3,
"Mario Lúcio Côrtes","CORTES, M. L.","4","",,,3,
"Guido Araujo","ARAUJO, G.","1","8683914780987242",,,3,
"Fernando Gehm Moraes","MORAES, F. G.","3","",,,3,
"Ney Laert Vilar Calazans","CALAZANS, N. L. V.","5","",,,3,
"Edson Borin","BORIN, E.","1","",,,4,
"Anderson F. Da Silva","SILVA, A. F.","2","",,,4,
"Alfredo Goldman","GOLDMAN, A.","3","",,,4,
"Edson Borin","BORIN, E.","2","",,,5,
"Luis Otávio Saraiva Ferreira","FERREIRA, L. O. S.","1","",,,5,
"William Wolf","WOLF, W.","3","",,,5,
"Edson Borin","BORIN, EDSON","2","",,,6,
"Julio César López Hernández","HERNANDEZ, J. C. L.","1","",,,6,
"Diego de Freitas Aranha","ARANHA, D. F.","3","",,,6,
"Edson Borin","BORIN, E.","2","",,,7,
"Sandro Rigo","RIGO, S.","3","8308517667746974",,,7,
"Luiz Fernando Bittencourt","BITTENCOURT, L. F.","1","",,,7,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,,7,
"Edson Borin","BORIN, E.","1","",,,8,
"Alexandro José Baldassin","BALDASSIN, A. J.","3","4738829911864396",,,8,
"Diego de Freitas Aranha","ARANHA, D. F.","2","",,,8,
"Edson Borin","BORIN, EDSON","2","",,,9,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","3","",,,9,
"Christian Esteve Rothenberg","ROTHENBERG, C. E.","1","",,,9,
"Edson Borin","BORIN, E.","2","",,,10,
"Philippe Olivier Alexandre Navaux","NAVAUX, P. O. A.","3","",,,10,
"Luiz Eduardo Buzato","BUZATO, L. E.","1","",,,10,
"Edson Borin","BORIN, E.","2","",,,11,
"Ricardo Dahab","DAHAB, R.","1","",,,11,
"Julio César López Hernández","HERNANDEZ, J. C. L.","3","",,,11,
"Edson Borin","BORIN, E.","1","",,,12,
"Islene Calciolari Garcia","GARCIA, I. C.","2","",,,12,
"Lucas Francisco Wanner","WANNER, L. F.","3","",,,12,
"Edson Borin","BORIN, E.","3","",,,13,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","2","",,,13,
"Lucas Francisco Wanner","WANNER, L. F.","1","",,,13,
"Edson Borin","BORIN, E.","1","",,,14,
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","2","",,,14,
"Islene Calciolari Garcia","GARCIA, I. C.","3","",,,14,
"Edson Borin","BORIN, E.","1","",,,15,
"Diego de Freitas Aranha","ARANHA, D. F.","2","",,,15,
"Lucas Francisco Wanner","WANNER, L. F.","3","",,,15,
"Edson Borin","BORIN, E.","3","",,,16,
"Sandro Rigo","RIGO, S.","2","8308517667746974",,,16,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","1","",,,16,
"Edson Borin","BORIN, E.","2","",,,17,
"Ricardo Dahab","DAHAB, R.","4","",,,17,
"Julio César López Hernández","HERNANDEZ, J. C. L.","1","",,,17,
"Diego de Freitas Aranha","ARANHA, D. F.","3","",,,17,
"Edson Borin","BORIN, E.","2","",,,18,
"Sandro Rigo","RIGO, S.","1","8308517667746974",,,18,
"José Nelson Amaral","AMARAL, J. N.","3","",,,18,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",,,18,
"Alexandro José Baldassin","BALDASSIN, A. J.","5","4738829911864396",,,18,
"Edson Borin","BORIN, E.","3","",,,,0
"Wesley Attrot","ATTROT, W.","1","5644676140910061",,,,0
