PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"37",0
1,"55",0
2,"126",0
3,"139",0
4,"153",0
5,"162",0
6,"193",0
7,"196",0
