NOME-DO-EVENTO,CODIGO-INSTITUICAO,NOME-INSTITUICAO,LOCAL-DO-EVENTO,CIDADE-DO-EVENTO,NOME-DO-EVENTO-INGLES,PARTICIPACAO-EM-SIMPOSIO_Id
"International Symposium on Code Generation and Optimization (CGO 2009)","","","","Seatle, WA","",0
"The Third International Conference on Parallel, Distributed, Grid and Cloud Computing for Engineering","","","","Pecs","",1
"The 38th International Symposium on Computer Architecture (ISCA 2011)","","","","San Jose","",2
"25th International Symposium on Computer Architecture and High-Performance Computing","","","","Porto de Galinhas","",3
"23rd International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'11)","","","","Vitória - ES","",4
"IEEE International Symposium on Workload Characterization","","","","Austin, TX","",5
"International Symposium on Code Generation and Optimization (CGO 2011)","","","","Chamonix","",6
