CODIGO-INSTITUICAO,NOME-INSTITUICAO,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"008000000006","Universidade Estadual de Londrina",0
"033400000004","Universidade Federal de Ouro Preto",1
"006200000003","Universidade Federal de São Paulo",2
"033500000006","Universidade Federal de São Carlos",3
