ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,SEQUENCIA-PRODUCAO,ORIENTACOES-EM-ANDAMENTO_Id
0,"173",0
1,"104",0
2,"172",0
3,"171",0
