NATUREZA,TITULO-DO-SOFTWARE,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-SOFTWARE-INGLES,FLAG-DIVULGACAO-CIENTIFICA,FLAG-POTENCIAL-INOVACAO,SOFTWARE_Id
"NAO_INFORMADO","LibMiletus: IoT prototyping made easy!","2016","Brasil","","NAO_INFORMADO","","NAO","","","SIM","SIM",0
"COMPUTACIONAL","PattLib: Pattern Library","2004","Brasil","","MEIO_DIGITAL","http://sourceforge.net/projects/pattlib/","NAO","","","NAO","NAO",1
