ARTIGO-PUBLICADO_Id,SEQUENCIA-PRODUCAO,ORDEM-IMPORTANCIA,ARTIGOS-PUBLICADOS_Id
0,"1","",0
1,"67","",0
2,"90","",0
3,"92","",0
4,"112","",0
5,"141","",0
6,"148","",0
7,"150","",0
8,"170","",0
9,"169","",0
