PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,SEQUENCIA-PRODUCAO,PARTICIPACAO-EM-BANCA-TRABALHOS-CONCLUSAO_Id
0,"46",0
1,"56",0
2,"82",0
3,"83",0
4,"116",0
5,"117",0
6,"137",0
7,"142",0
8,"145",0
9,"152",0
10,"154",0
11,"161",0
12,"183",0
13,"195",0
14,"197",0
15,"198",0
16,"202",0
17,"203",0
18,"207",0
19,"264",0
20,"84",0
