NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,EQUIPE-DO-PROJETO_Id
Josué Tzan Hsin Ma,"MA, J. T. H.",17,NAO,14
Edson Borin,"BORIN, E.;BORIN, EDSON",1,SIM,15
Caian Benedicto,"BENEDICTO, C.",2,NAO,15
Ian Rodrigues,"RODRIGUES, I.",3,NAO,15
Martin Tygel,"TYGEL, M.",4,NAO,15
Alcides Goldoni Junior,"GOLDONI JUNIOR, A.",5,NAO,15
Jorge Henrique Faccipieri Junior,"FACCIPIERI JUNIOR, J. H.",6,NAO,15
Dany Rueda Serrano,"SERRANO, D. R.",7,NAO,15
Edson Borin,"BORIN, E.;BORIN, EDSON",1,SIM,16
Martin Tygel,"TYGEL, M.",2,NAO,16
Edson Borin,"BORIN, E.;BORIN, EDSON",1,NAO,17
Rodolfo Azevedo,"AZEVEDO, R.",2,SIM,17
Sandro Rigo,"RIGO, S.",3,NAO,17
Paulo Cesar Centoducatte,"CENTODUCATTE, P. C.",4,NAO,17
Ricardo Ribeiro dos Santos,"SANTOS, R. R.",5,NAO,17
Guido Araujo,"ARAUJO, G.",6,NAO,17
Alexandro José Baldassin,"BALDASSIN, A. J.",7,NAO,17
Juliana Freitag Borin,"BORIN, J. F.",8,NAO,17
Ivan Rizzo Guilherme,"GUILHERME, I. R.",9,NAO,17
Renato Porfírio Ishii,"ISHII, R. P.",10,NAO,17
Fabricio Aparecido Breve,"BREVE, F. A.",11,NAO,17
Aparecido Nilceu Marana,"MARANA, A. N.",12,NAO,17
João Paulo Papa,"PAPA, J. P.",13,NAO,17
Mario Cortes,"CORTES, M.",14,NAO,17
Edson Norberto Caceres,"CACERES, E. N.",15,NAO,17
Nahri Balesdent Moreano,"MOREANO, N. B.",16,NAO,17
Aleardo Manacero Junior,"MANACERO JUNIOR, A.",17,NAO,17
Carlos Roberto Valencio,"VALENCIO, C. R.",18,NAO,17
Renata Spolon Lobato,"LOBATO, R. S.",19,NAO,17
Roberta Spolon,"SPOLON, R.",20,NAO,17
Edson Borin,"BORIN, E.;BORIN, EDSON",1,SIM,18
Sandro Rigo,"RIGO, S.",2,NAO,18
Juliana Freitag Borin,"BORIN, J. F.",3,NAO,18
Edson Borin,"BORIN, E.;BORIN, EDSON",1,SIM,19
Sandro Rigo,"RIGO, S.",2,NAO,19
