TRABALHO-EM-EVENTOS_Id,SEQUENCIA-PRODUCAO,TRABALHOS-EM-EVENTOS_Id
0,"8",0
1,"9",0
2,"10",0
3,"11",0
4,"12",0
5,"13",0
6,"14",0
7,"15",0
8,"22",0
9,"26",0
10,"32",0
11,"33",0
12,"34",0
13,"50",0
14,"51",0
15,"60",0
16,"61",0
17,"65",0
18,"66",0
19,"77",0
20,"78",0
21,"79",0
22,"80",0
23,"81",0
24,"87",0
25,"88",0
26,"93",0
27,"94",0
28,"95",0
29,"96",0
30,"97",0
31,"98",0
32,"111",0
33,"119",0
34,"120",0
35,"121",0
36,"125",0
37,"138",0
38,"143",0
39,"144",0
40,"149",0
41,"156",0
42,"158",0
43,"159",0
44,"160",0
45,"176",0
46,"177",0
47,"178",0
48,"188",0
49,"189",0
50,"190",0
51,"261",0
52,"262",0
53,"263",0
54,"124",0
