SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"43","Técnicas de formação de regiões para projetos de máquinas virtuais eficientes","Dissertação de mestrado","Region formation techniques for efficient virtual machines design",0
"48","Técnicas para Análise de Desempenho de Máquinas Virtuais","Iniciação científica","",0
"49","Modeling the Performance Impact of Hot Code Misprediction in Cross-ISA Virtual Machines","Dissertação de mestrado","Modeling the Performance Impact of Hot Code Misprediction in Cross-ISA Virtual Machines",0
"52","Indirect Branch Emulation Techniques in Virtual Machines","Dissertação de mestrado","Indirect Branch Emulation Techniques in Virtual Machines",0
"57","Análise de desempenho e otimização dos simuladores ArchC","Dissertação de mestrado","",0
"64","Técnicas para simulação de sistemas operacionais em simuladores funcionais","Iniciação científica","",0
"110","Método de Verificação Conjunta para Simuladores de Arquiteturas","Iniciação científica","",0
"260","Evaluating the Performance and Cost of Accelerating Seismic Processing with CUDA, OpenCL, OpenACC, and OpenMP","Iniciação científica","Evaluating the Performance and Cost of Accelerating Seismic Processing with CUDA, OpenCL, OpenACC, and OpenMP",1
