TITULO-DA-LINHA-DE-PESQUISA,FLAG-LINHA-DE-PESQUISA-ATIVA,OBJETIVOS-LINHA-DE-PESQUISA,PESQUISA-E-DESENVOLVIMENTO_Id
Técnicas para implementação de máquinas virtuais eficientes,NAO,,0
Técnicas para compressão de microcódigo,NAO,,0
"Técnicas de paralelização automática de aplicações ""single-threaded"" em processadores com múltiplos núcleos",NAO,,0
Técnicas e suporte em hardware para tradução e otimização dinâmica de binários,NAO,,0
Técnicas para implementação de Máquinas virtuais eficientes e seguras,NAO,,1
Projeto integrado de hardware e software,NAO,,1
Técnicas para a paralelização de código em arquiteturas multi-core e heterogêneas,NAO,,1
Modelagem de consumo de energia em dispositivos móveis,NAO,,1
Técnicas para redução do consumo de energia em dispositivos móveis,NAO,,1
