NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id
"Edson Borin","BORIN, E.","1","",7,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",7,,,,,,,,,
"Edson Borin","BORIN, E.","1","",8,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",8,,,,,,,,,
"Edson Borin","BORIN, E.","1","",9,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",9,,,,,,,,,
"Cheng Wang","WANG, C.","3","",9,,,,,,,,,
"Wei Liu","LIU, W.","4","",9,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","5","",9,,,,,,,,,
"Shiliang Hu","HU, S.","6","",9,,,,,,,,,
"Esfir Natanzon","NATANZON, ESFIR","7","",9,,,,,,,,,
"Shai Rotem","ROTEM, SHAI","8","",9,,,,,,,,,
"Roni Rosner","ROSNER, RONI","9","",9,,,,,,,,,
"Edson Borin","BORIN, E.","1","",10,,,,,,,,,
"Youfeng Wu","WU, Y.","2","",10,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",10,,,,,,,,,
"Cheng Wang","WANG, C.","4","",10,,,,,,,,,
"Youfeng Wu","WU, Y.","1","",11,,,,,,,,,
"Shiliang Hu","HU, S.","2","",11,,,,,,,,,
"Edson Borin","BORIN, E.","3","",11,,,,,,,,,
"Cheng Wang","WANG, C.","4","",11,,,,,,,,,
"Wesley Attrot","ATTROT, W.","1","5644676140910061",12,,,,,,,,,
"Daniel Nicácio","NICÁCIO, D.","2","",12,,,,,,,,,
"Edson Borin","BORIN, E.","3","",12,,,,,,,,,
"Sandro Rigo","RIGO, S.","4","8308517667746974",12,,,,,,,,,
"Guido Araújo","ARAUJO, G.","5","8683914780987242",12,,,,,,,,,
"João Paulo Porto","PORTO, J. P.","1","6749787014203446",13,,,,,,,,,
"Guido Araújo","ARAUJO, G.","2","8683914780987242",13,,,,,,,,,
"Edson Borin","BORIN, E.","3","",13,,,,,,,,,
"Youfeng Wu","WU, Y.","4","",13,,,,,,,,,
"Edson Borin","BORIN, E.","1","",14,,,,,,,,,
"Guido Araújo","ARAUJO, G.","2","8683914780987242",14,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",14,,,,,,,,,
"Youfeng Wu","WU, Y.","4","",14,,,,,,,,,
"Daniel Carlos Guimarães Pedronette","PEDRONETTE, D. C. G.","1","3363615000303340",15,,,,,,,,,
"Ricardo da Silva Torres","TORRES, R. S.","2","3790201696145434",15,,,,,,,,,
"Edson Borin","BORIN, E.","3","",15,,,,,,,,,
"Daniel Carlos Guimarães Pedronette","PEDRONETTE, D. C. G.","1","3363615000303340",16,,,,,,,,,
"Ricardo da Silva Torres","TORRES, R. S.","2","3790201696145434",16,,,,,,,,,
"Edson Borin","BORIN, E.","3","",16,,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","4","",16,,,,,,,,,
"Caian Benedicto","BENEDICTO, C.","1","",17,,,,,,,,,
"Edson Borin","BORIN, E.","2","",17,,,,,,,,,
"João Batista Corrêa Gomes Moreira","MOREIRA, J. B. C. G.","1","6120040174866328",18,,,,,,,,,
"Divino César Soares Lucas","LUCAS, D. C. S.","2","5784915197936745",18,,,,,,,,,
"Guido Araújo","ARAUJO, G.","3","8683914780987242",18,,,,,,,,,
"Edson Borin","BORIN, E.","4","",18,,,,,,,,,
"Sandro Rigo","RIGO, S.","5","8308517667746974",18,,,,,,,,,
"Marcelo Guedes","GUEDES, M.","1","",19,,,,,,,,,
"Rafael Auler","AULER, R.","2","5072043911907640",19,,,,,,,,,
"Edson Borin","BORIN, E.","3","",19,,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, R.","4","2046981671187343",19,,,,,,,,,
"Rafael Auler","AULER, R.","1","5072043911907640",20,,,,,,,,,
"Paulo Cesar Centoducatte","CENTODUCATTE, P. C.","2","0758877444698557",20,,,,,,,,,
"Edson Borin","BORIN, E.","3","",20,,,,,,,,,
"Raphael Zinsly","ZINSLY, R.","1","3604119831374240",21,,,,,,,,,
"Sandro Rigo","RIGO, S.","2","8308517667746974",21,,,,,,,,,
"Edson Borin","BORIN, E.","3","",21,,,,,,,,,
"Gabriel Ferreira Teles Gomes","GOMES, G. F. T.","1","",22,,,,,,,,,
"Edson Borin","BORIN, E.","2","",22,,,,,,,,,
"Divino César Soares Lucas","LUCAS, D. C. S.","1","5784915197936745",23,,,,,,,,,
"Guido Araújo","ARAUJO, G.","2","8683914780987242",23,,,,,,,,,
"Edson Borin","BORIN, E.","3","",23,,,,,,,,,
"Edson Borin","BORIN, E.","1","",24,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","2","6051486998967925",24,,,,,,,,,
"Leonardo de Paula Rosa Piga","PIGA, L. P. R.","1","",25,,,,,,,,,
"Gabriel Ferreira Teles Gomes","GOMES, G. F. T.","2","",25,,,,,,,,,
"Rafael Auler","AULER, R.","3","5072043911907640",25,,,,,,,,,
"Bruno Rosa","ROSA, B.","4","6794676143753512",25,,,,,,,,,
"Sandro Rigo","RIGO, S.","5","8308517667746974",25,,,,,,,,,
"Edson Borin","BORIN, E.","6","",25,,,,,,,,,
"Divino César Soares Lucas","LUCAS, D. C. S.","1","5784915197936745",26,,,,,,,,,
"Rafael Auler","AULER, R.","2","5072043911907640",26,,,,,,,,,
"Rafael Dalibera","DALIBERA, R.","3","",26,,,,,,,,,
"Sandro Rigo","RIGO, S.","4","8308517667746974",26,,,,,,,,,
"Edson Borin","BORIN, E.","5","",26,,,,,,,,,
"Guido Araujo","ARAUJO, G.","6","8683914780987242",26,,,,,,,,,
"Bruno Cardoso","CARDOSO, B.","1","",27,,,,,,,,,
"Rafael Auler","AULER, R.","2","5072043911907640",27,,,,,,,,,
"Rodolfo Azevedo","AZEVEDO, R.","3","2046981671187343",27,,,,,,,,,
"Edson Borin","BORIN, E.","4","",27,,,,,,,,,
"Flávia Pisani","PISANI, F.","1","",28,,,,,,,,,
"Daniel Carlos Guimarães Pedronette","PEDRONETTE, D. C. G.","2","3363615000303340",28,,,,,,,,,
"Ricardo da Silva Torres","TORRES, R. S.","3","3790201696145434",28,,,,,,,,,
"Edson Borin","BORIN, E.","4","",28,,,,,,,,,
"Caian Benedicto","BENEDICTO, C.","1","",29,,,,,,,,,
"Gilvan Vieira","VIEIRA, G.","2","",29,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","3","6051486998967925",29,,,,,,,,,
"Edson Borin","BORIN, E.","4","",29,,,,,,,,,
"Gilberto Luis Valente da Costa","COSTA, G. L. V.","1","",30,,,,,,,,,
"Marco Lúcio Bittencourt","BITTENCOURT, M. L.","2","",30,,,,,,,,,
"Edson Borin","BORIN, E.","3","",30,,,,,,,,,
"Mario Hato","HATO, M.","1","",31,,,,,,,,,
