NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id
"Rafael Auler","AULER, R.","2","5072043911907640",49,,,,,,,,,
"Edson Borin","BORIN, E.","3","",49,,,,,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","4","",49,,,,,,,,,
"Joao H. S. Hoffmam","HOFFMAM, J. H. S.","1","",50,,,,,,,,,
"Tiago Barros","BARROS, T.","2","",50,,,,,,,,,
"Sandro Rigo","RIGO, S.","3","8308517667746974",50,,,,,,,,,
"Edson Borin","BORIN, E.","4","",50,,,,,,,,,
"DIENER, MATTHIAS","DIENER, MATTHIAS","1","",51,,,,,,,,,
"CRUZ, EDUARDO H. M.","CRUZ, EDUARDO H. M.","2","",51,,,,,,,,,
"ALVES, MARCO A. Z.","ALVES, MARCO A. Z.","3","",51,,,,,,,,,
"Edson Borin","BORIN, EDSON","4","",51,,,,,,,,,
"NAVAUX, PHILIPPE O. A.","NAVAUX, PHILIPPE O. A.","5","",51,,,,,,,,,
"Caian Benedicto","BENEDICTO, C.","1","",52,,,,,,,,,
"RODRIGUES, IAN L.","RODRIGUES, IAN L.","2","",52,,,,,,,,,
"TYGEL, MARTIN","TYGEL, MARTIN","3","",52,,,,,,,,,
"BRETERNITZ, MAURICIO","BRETERNITZ, MAURICIO","4","",52,,,,,,,,,
"Edson Borin","BORIN, EDSON","5","",52,,,,,,,,,
"Erik de Godoy Perillo","PERILLO, E. G.","1","",53,,,,,,,,,
"Edson Borin","BORIN, EDSON","2","",53,,,,,,,,,
