DETALHAMENTO-DA-PATENTE_Id,FINALIDADE,INSTITUICAO-FINANCIADORA,FINALIDADE-INGLES,CATEGORIA,PATENTE_Id
0,"Proteção de propriedade intelectual","Intel Corporation","","Processo",0
1,"Método baseado em software para checar fluxo de controle em microprocessadores e detectar soft-errors.","Intel Corporation","","",1
2,"Representar de forma compacta, traces de programas usados para parallelizaçao dinâmica de binario.","Intel Corporation","","Processo",2
3,"Proteção de propriedade intelectual","Intel Corporation","","",3
4,"","Intel Corporation","","",4
5,"","","","Processo",5
6,"","","","Processo",6
7,"Proteção de propriedade intelectual","Intel Corporation","","Processo",7
