CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"INTERNACIONAL","International Symposium on Code Generation and Optimization","New York","2006","Proceedings of the International Symposium on Code Generation and Optimization","","","","333","345","0769524990","IEEE Computer Society","Washington, DC, USA","",0
"INTERNACIONAL","IEEE Workshop on Embedded Systems for Real-Time Multimedia (ESTIMEDIA)","Stockholm","2004","Proceedings of the Second IEEE Workshop on Embedded Systems for Real-Time Multimedia (ESTIMEDIA)","","","","53","58","0780386310","IEEE","","",1
"NAO_INFORMADO","Workshop on Application Specific Processors, WASP 2004","Stockholm","2004","Workshop on Application Specific Processors","","","","12","18","","","","",2
"INTERNACIONAL","IEEE International Conference on Computer Design (ICCD 2006)","San Jose, CA, USA","2006","Proceedings of the International Conference on Computer Design","","","","189","196","9780780397071","IEEE","","",3
"INTERNACIONAL","Architectural and Microarchitectural Support for Binary Translation","Austin, Texas, USA","2009","2nd Workshop on Architectural and Microarchitectural Support for Binary Translation","","","","","","","","","",4
"INTERNACIONAL","International Conference on Supercomputing","Yorktown Heights, NY, USA","2009","Proceedings of the 23rd international conference on Supercomputing","","","","158","168","9781605584980","ACM","New York, NY, USA","",5
"INTERNACIONAL","Workshop on Parallel Execution of Sequential Programs on Multi-core Architectures","Beijing, China","2008","Workshop on Parallel Execution of Sequential Programs on Multi-core Architectures","","","","20","27","","","","",6
"INTERNACIONAL","Workshop on Architectural and Microarchitectural Support for Binary Translation","Beijing, China","2008","Proceedings of the 1st Workshop on Architectural and Microarchitectural Support for Binary Translation","","","","4","13","","","","",7
"INTERNACIONAL","IEEE International Symposium on Workload Characterization","Austin, TX","2009","Proceedings of the 2009 IEEE International Symposium on Workload Characterization","","","","178","187","9781424451562","","","",8
"INTERNACIONAL","International Symposium on Code Generation and Optimization (CGO '10)","Toronto","2010","Proceedings of the 8th annual IEEE/ACM international symposium on Code generation and optimization","","","","12","21","9781605586","ACM","New York, NY, USA","",9
"INTERNACIONAL","9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","Chamonix","2011","Proceedings of the 9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","","","","54","63","9781612843568","","","",10
"INTERNACIONAL","9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","Chamonix","2011","Proceedings of the 9th Annual IEEE/ACM International Symposium on Code Generation and Optimization (CGO)","","","","236","245","9781612843568","","","",11
"INTERNACIONAL","Architectural and Microarchitectural Support for Binary Translation","San Jose","2011","Proceedings of the 4th Architectural and Microarchitectural Support for Binary Translation","","","","","","","","","",12
"INTERNACIONAL","3rd Workshop on Architectural and Microarchitectural Support for Binary Translation (AMAS-BT'10)","Saint-Malo","2010","Proceedings of the 2010 international conference on Computer Architecture","6161","","","99","116","9783642243","Springer-Verlag","Berlin, Heidelberg","",13
"INTERNACIONAL","23rd International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD'11)","Vitória - ES","2011","Proceedings of the 23rd International Symposium on Computer Architecture and High Performance Computing","","","","104","111","","IEEE Conference Publishing Service","Los Alamitos, California, EUA","",14
"NACIONAL","III Escola Regional de Alto Desempenho de São Paulo","Campinas","2012","Anais da III Escola Regional de Alto Desempenho de São Paulo","","","","","","","","","",15
"INTERNACIONAL","10th IEEE International Symposium on Parallel and Distributed Processing with Applications","Madrid","2012","Proceedings of the 10th IEEE International Symposium on Parallel and Distributed Processing with Applications","","","","","","","","","",16
"NACIONAL","III Escola Regional de Alto Desempenho de São Paulo","Campinas","2012","Anais da III Escola Regional de Alto Desempenho de São Paulo","","","","","","","","","",17
"INTERNACIONAL","5th Workshop on Architectural and Microarchitectural Support for Binary Translation","Portland","2012","Proceedings of the 5th Workshop on Architectural and Microarchitectural Support for Binary Translation","","","","","","","","","",18
"INTERNACIONAL","23rd IEEE International Symposium on Rapid System Prototyping","Tampere","2012","Proceedings of the 23rd IEEE International Symposium on Rapid System Prototyping","","","","","","","","","",19
"INTERNACIONAL","24th International Symposium on Computer Architecture and High Performance Computing","New York","2012","Proceedings of the 24th International Symposium on Computer Architecture and High Performance Computing","","","","","","","","","",20
"NACIONAL","XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","Petrópolis","2012","Anais do XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","","","","","","","","","",21
"NACIONAL","XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","Petrópolis","2012","Anais do Anais do XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","","","","","","","","","",22
"NACIONAL","XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","Petrópolis","2012","Anais do XIII Simpósio em Sistemas Computacionais (WSCAD-SSC'12)","","","","","","","","","",23
"INTERNACIONAL","Third International Conference on Parallel, Distributed, Grid and Cloud Computing for Engineering","Pécs","2013","Proceedings of the Third International Conference on Parallel, Distributed, Grid and Cloud Computing for Engineering","","","","","","","","","",24
"INTERNACIONAL","4th ACM/SPEC International Conference on Performance Engineering","Praga","2013","Proceedings of the 4th ACM/SPEC International Conference on Performance Engineering","","","","","","","","","",25
"INTERNACIONAL","IEEE International Symposium on Workload Characterization","Portland","2013","Proceedings of the 2013 IEEE International Symposium on Workload Characterization","","","","","","","","","",26
