TITULO,ANO-DESENVOLVIMENTO,PAIS,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-RELEVANCIA,TITULO-INGLES,FLAG-POTENCIAL-INOVACAO,PATENTE_Id
"Apparatus, Method, And System for Providing a Decision Mechanism for Conditional Commits in an Atomic Region","2010","Estados Unidos","","IMPRESSO","NAO","Apparatus, Method, And System for Providing a Decision Mechanism for Conditional Commits in an Atomic Region","NAO",0
"Apparatus and method for software-based control flow checking for soft error detection to improve microprocessor reliability","2009","Estados Unidos","","MEIO_DIGITAL","NAO","","NAO",1
"Compact Trace Trees For Dynamic Binary Parallelization","2008","Estados Unidos","","MEIO_DIGITAL","NAO","","NAO",2
"Methods and Apparatus to Manage Partial-Commit Checkpoints with Fixup Support","2009","Estados Unidos","","IMPRESSO","NAO","","NAO",3
"Accelerating Execution of Compressed Code","2010","Estados Unidos","","IMPRESSO","NAO","Accelerating Execution of Compressed Code","NAO",4
"Dynamic Core Selection for Heterogeneous Multi-Core Systems","2011","Estados Unidos","","NAO_INFORMADO","NAO","","NAO",5
"Método e sistema para emulação de instruções e execução de código legado","2015","Brasil","","NAO_INFORMADO","NAO","","SIM",6
"Dynamic Optimization for Conditional Commit","2010","Estados Unidos","","IMPRESSO","NAO","","NAO",7
