PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-INICIACAO-CIENTIFICA_Id
"Dynamic Binary Optimization","Dynamic Binary Translation","","","","",,,,,,,,17,,,,,,,,,,,,
"engenharia de computação","engenharia mecânica","engenharia elétrica","ciência & arte nas férias","","",,,,,,,,,1,,,,,,,,,,,
"Computação de Alto Desempenho","Processadores Modernos","Otimização de Código","","","",,,,,,,,,2,,,,,,,,,,,
"Organização de computadores","Computador do IAS","Ensino de arquitetura de computadores","","","",,,,,,,,,,0,,,,,,,,,,
"binary optimization","virtual machines","Hardware/Software Co-design","Dynamic Binary Optimization","Dynamic Binary Translation","",,,,,,,,,,,4,,,,,,,,,
"virtual machines","Dynamic Binary Optimization","region formation","","","",,,,,,,,,,,,0,,,,,,,,
"binary optimization","Dynamic Binary Optimization","Dynamic Binary Translation","Hardware/Software Co-design","region formation","virtual machines",,,,,,,,,,,,1,,,,,,,,
"binary optimization","Dynamic Binary Instrumentation","Dynamic Binary Optimization","Dynamic Binary Translation","Hardware/Software Co-design","virtual machines",,,,,,,,,,,,2,,,,,,,,
"Internet das Coisas","IoT","Framework de Interoperabilidade","Fog Computing","Edge Computing","",,,,,,,,,,,,5,,,,,,,,
"interpretação","virtual machines","virtualization","","","",,,,,,,,,,,,6,,,,,,,,
"binary optimization","Dynamic Binary Optimization","Dynamic Binary Translation","Hardware/Software Co-design","virtual machines","Computer Architecture",,,,,,,,,,,,,0,,,,,,,
"virtual machines","benchmarks","interpretação","","","",,,,,,,,,,,,,,0,,,,,,
"GPU","heterogeneous computing","","","","",,,,,,,,,,,,,,1,,,,,,
"virtual machines","interpretação","","","","",,,,,,,,,,,,,,2,,,,,,
"virtual machines","Dynamic Compilation","","","","",,,,,,,,,,,,,,,1,,,,,
"GPU","GPGPU","","","","",,,,,,,,,,,,,,,2,,,,,
"Compilers","context-sensitive optimizations","","","","",,,,,,,,,,,,,,,19,,,,,
"Recuperação de Vídeos","Processamento de Imagens","","","","",,,,,,,,,,,,,,,,1,,,,
"Compressão de Código","","","","","",,,,,,,,,,,,,,,,,0,,,
"GPU, Lattice Boltzmann, cluster","","","","","",,,,,,,,,,,,,,,,,5,,,
"Binary translation","RISC V","Performance evaluation","","","",,,,,,,,,,,,,,,,,,1,,
"HPC","Big Data","CNN","","","",,,,,,,,,,,,,,,,,,,0,
"DBT","Computer Architecture","Compilers","","","",,,,,,,,,,,,,,,,,,,2,
"IoT","Programming systems","Computer systems","","","",,,,,,,,,,,,,,,,,,,3,
"GPU","Heterogenous computing","Seismic processing","high performance computing","","",,,,,,,,,,,,,,,,,,,,0
