TITULO-DO-PERIODICO-OU-REVISTA,ISSN,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,LOCAL-DE-PUBLICACAO,ARTIGO-PUBLICADO_Id
ACM SIGARCH Computer Architecture News,01635964,33,,5,15,20,,0
International Journal of Parallel Programming,08857458,August,,,1573-7640,,,1
IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS,02780070,24,,7,969,980,,2
Journal of Systems Architecture,13837621,59,,,1,12,,3
International Journal of Computer Architecture Education,23169915,2,,1,21,,,4
Advances in Engineering Software (1992),09659978,online,,,online,,,5
International Journal of Computer Architecture Education,23169915,3,,1,13,16,,6
SIGPLAN Notices (Cessou em 1991. Cont. ISSN 1523-2867 ACM SIGPLAN Notices),03621340,50,,8,87,96,,7
Concurrency and Computation,15320626,N/D,,,1,,,8
Concurrency and Computation,15320626,?,,,?,,,9
