NOME-DO-PREMIO-OU-TITULO,NOME-DA-ENTIDADE-PROMOTORA,ANO-DA-PREMIACAO,PREMIOS-TITULOS_Id
Divisional Recognition Award: UROM compression in Gesher with significant area saving without impacting performace,Microprocessor Technology Laboratory - Intel,2008,0
Best Paper Award: Characterization of Dynamic Binary Translation Overhead,Workshop on Architectural and Microarchitectural Support for Binary Translation,2008,0
Divisional Recognition Award,Microprocessor and Programming Research (MPR) Laboratory - Intel,2010,0
Division Recognition Award,Microprocessor Development Group - Intel,2010,0
Paper Award - 2nd place: Exploring Dynamic Program Behavior with Frames and Phases,Simpósio em Sistemas Computacionais de Alto Desempenho,2012,0
2o lugar na Competição Intel de Sistemas Embarcados,Simpósio Brasileiro de Engenharia de Sistemas Computacionais,2013,0
"11o Prêmio de Iniciação Científica CNPq: ""Paralelização de Algoritmo de Reclassificação de Resultados de Recuperação de Imagens Baseada em Conteúdo Utilizando Espaços Contextuais"". F. Pisani",CNPq,2013,0
Nomination for Best Paper Award: On the Impact of Dynamic Memory Management on Software Transactional Memory Performance,ACM SIGPLAN Workshop on Transactional Computing,2014,0
"Prêmio de melhor iniciação científica no WSCAD-SSC: Trabalho: Oportunidades para economia de energia em dispositivos móveis, aluno João Henrique Stange Hoffmam","Simpósio da área de Arquitetura de Computadores, Sociedade Brasileira de Computação.",2014,0
Excelência Didática,Instituto de Computação da Universidade Estadual de Campinas,2015,0
Best Paper: PY-PITS: A Scalable Python Runtime System for the Computation of Partially Idempotent Tasks,5th workshop on Parallel Programming Models (MPP) - Special Edition on Task Parallelism.,2016,0
Divisional Recognition Award: Binary parallelization software to accelerate single thread performance on multi-core systems,Microprocessor Technology Laboratory - Intel,2008,0
