NOME-GRANDE-AREA-DO-CONHECIMENTO,NOME-DA-AREA-DO-CONHECIMENTO,NOME-DA-SUB-AREA-DO-CONHECIMENTO,NOME-DA-ESPECIALIDADE,AREAS-DO-CONHECIMENTO_Id
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Sistemas de Computação","Arquitetura de Sistemas de Computação",11
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Sistemas de Computação","Arquitetura de Sistemas de Computação",33
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","","",34
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Sistemas de Computação","",38
"CIENCIAS_EXATAS_E_DA_TERRA","Ciência da Computação","Teoria da Computação","",43
