NATUREZA,TIPO,TITULO-DO-TRABALHO,ANO,PAIS,IDIOMA,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id
Dissertação de mestrado,NAO_INFORMADO,Análise Estática para detectar No-sleep bugs.,2016,Brasil,Português,0
Dissertação de mestrado,NAO_INFORMADO,Efficient RISC-V Emulation,2016,Brasil,Inglês,1
Dissertação de mestrado,ACADEMICO,Aceleração de métodos de processamento sísmico com OpenCL,2014,Brasil,Português,2
