NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Concurso público","Banca Examinadora do Concurso Público para provimento do cargo de professor na Universidade Estadual de Londrina","2011","Brasil","Português","","","",0
"Concurso público","Banca Examinadora do Concurso para professor efetivo no Instituto de Ciências Exatas e Aplicadas da Universidade Federal de Ouro Preto","2013","Brasil","Português","","","",1
"Concurso público","Banca Examinadora do Concurso de professor adjunto A da Área de Engenharia Elétrica - Microprocessadores / Microcontroladores","2014","Brasil","Português","","","",2
"Concurso público","Banca Examinadora do Concurso de professor adjunto A da Área: Engenharia de Computação.","2015","Brasil","Português","","","",3
